Year,Month,Day,Type,Mag
-449,3,9,Partial,0.06
-447,7,12,Partial,0.014
-446,12,26,Partial,0.1
-437,12,17,Partial,0.295
-436,6,10,Partial,0.271
-435,5,31,Partial,0.746(r)
-433,10,4,Partial,0.594
-432,3,30,Partial,0.114
-430,8,3,Partial,0.903(s)
-426,5,22,Partial,0.345(r)
-425,11,4,Partial,0.304
-423,3,21,Partial,0.332
-422,3,10,Partial,0.121
-415,4,21,Partial,0.13
-414,10,4,Partial,0.083
-410,1,27,Partial,0.598
-408,6,1,Partial,0.203
-403,9,3,Partial,0.591
-402,8,23,Partial,0.008
-401,1,18,T,1
-393,8,14,Annular,0.887
-391,1,27,Partial,0.021
-389,6,2,Partial,0.258
-389,11,26,Partial,0.01(r)
-388,11,14,Partial,0.327
-386,9,25,Partial,0.001
-382,7,13,Partial,0.032
-379,11,5,Partial,0.65
-378,5,2,Partial,0.805
-376,9,4,Partial,0.615
-371,12,6,Partial,0.476(s)
-369,4,23,Partial,0.128
-368,4,11,Partial,0.289
-363,7,13,Partial,0.243
-362,11,27,Partial,0.153
-360,5,12,Partial,0.033(s)
-356,2,29,Partial,0.866
-350,4,22,Partial,0.414
-349,10,6,Partial,0.828
-348,9,24,Partial,0.157
-347,2,19,Partial,0.339
-339,9,15,Partial,0.366
-338,9,4,Partial,0.153
-335,7,4,Partial,0.9
-335,12,28,Partial,0.319(r)
-334,12,17,Partial,0.012
-328,2,20,Partial,0.055
-325,12,8,Partial,0.006
-323,5,23,Partial,0.754
-322,10,7,Partial,0.498
-321,9,26,Partial,0.029(s)
-316,1,8,Partial,0.032(s)
-309,8,15,Partial,0.756
-308,12,29,Partial,0.468
-306,6,14,Partial,0.596
-302,4,2,Partial,0.851
-297,1,8,Partial,0.301
-296,5,24,Partial,0.214
-295,5,13,Partial,0.25
-295,11,7,Partial,0.231
-294,10,27,Partial,0.322
-285,10,18,Partial,0.276
-284,10,6,Partial,0.294
-281,8,6,Partial,0.657
-280,1,30,Partial,0.1
-278,6,4,Partial,0.244
-274,3,24,Partial,0.505
-270,1,9,Partial,0.47
-268,11,8,Partial,0.24(s)
-267,10,28,Partial,0.078(s)
-262,2,9,Partial,0.252(s)
-255,9,16,Partial,0.658
-253,1,31,Partial,0.138
-251,7,5,Partial,0.705
-248,5,4,Partial,0.765
-243,2,9,Partial,0.658
-241,6,15,Partial,0.977
-241,12,10,Partial,0.172
-240,11,28,Partial,0.247
-236,9,16,Partial,0.088
-234,1,31,Partial,0.247
-233,7,16,Partial,0.702
-231,11,19,Partial,0.485
-230,11,8,Partial,0.136
-229,5,5,Partial,0.288
-227,9,7,Partial,0.518
-220,4,25,Partial,0.924
-219,4,14,Partial,0.103
-208,3,13,Partial,0.684
-202,5,6,Partial,0.296
-194,6,6,Partial,0.093
-189,3,14,Partial,0.726
-187,7,17,Partial,0.382
-186,1,11,Partial,0.611
-186,12,31,Partial,0.025
-182,10,19,Partial,0.797
-180,3,4,Partial,0.308
-179,8,17,Partial,0.582
-177,1,2,Partial,0.028
-177,12,22,Annular,0.819
-175,6,6,Partial,0.876
-173,10,10,T,1
-169,7,28,Partial,0.324
-168,7,17,Partial,0.004
-166,5,28,Partial,0.605(r)
-165,5,17,Partial,0.449
-157,6,17,Partial,0.408
-154,4,15,Partial,0.711
-152,8,18,Partial,0.014
-147,5,27,Partial,0.111(s)
-147,11,20,Partial,0(s)
-138,11,11,Partial,0.273
-135,4,15,T,1
-133,8,19,Partial,0.037
-132,2,13,Partial,0.807
-128,11,20,Partial,0.565(s)
-126,4,6,Partial,0.841
-125,9,19,Partial,0.327
-124,9,7,Partial,0.022(s)
-123,2,3,Partial,0.073
-122,1,23,Partial,0.653
-119,11,11,Partial,0.342
-117,4,26,Partial,0.005
-115,8,29,Partial,0.53
-114,8,19,Partial,0.465
-111,6,18,Partial,0.458
-108,4,16,Partial,0.183(s)
-104,2,3,Partial,0.15(s)
-103,7,19,Partial,0.791
-102,7,8,Partial,0.024
-93,6,29,Partial,0.601
-92,12,12,Partial,0.672
-89,4,17,Partial,0.016(s)
-88,9,29,Partial,0.239
-81,5,18,Partial,0.504
-78,3,17,Partial,0.377
-77,3,6,Partial,0.17
-76,7,20,Partial,0.041
-72,5,8,Partial,0.634
-71,10,21,Partial,0.022
-68,2,25,Partial,0.326(r)
-66,7,30,Partial,0.026(r)
-65,12,14,Partial,0.203(s)
-63,5,28,Partial,0.403
-62,5,18,Partial,0.029
-61,10,1,Partial,0.584(s)
-60,9,20,Partial,0.889
-53,5,9,Partial,0.104
-50,3,7,Partial,0.232
-49,8,21,Partial,0.678
-48,8,9,Partial,0.065
-47,1,4,Partial,0.147
-39,7,31,Partial,0.051
-38,7,20,Partial,0.421
-37,1,14,Partial,0.959
-35,5,19,Partial,0.697
-34,11,1,Partial,0.973
-28,1,5,Partial,0.811
-27,6,19,Partial,0.091(r)
-25,10,23,Partial,0.097
-23,4,7,Partial,0.779
-21,8,11,Annular,0.867
-18,6,10,Partial,0.107
-9,6,30,T,1
-8,6,19,Partial,0.379
-6,4,29,Partial,0.469
-6,10,23,Partial,0.49
-5,4,18,Partial,0.011
-2,2,15,Partial,0.464
1,6,10,Partial,0.598
4,4,8,Partial,0.122
5,9,22,Partial,0.365
6,9,11,Partial,0.154
16,8,21,Partial,0.222(r)
17,2,15,Partial,0.437
19,6,21,Partial,0.756
20,12,3,Partial,0.771
26,2,6,Partial,0.634
29,11,24,Partial,0.948
33,9,12,Partial,0.262
34,9,1,Partial,0.064
38,6,21,Partial,0.041
39,12,4,Partial,0.022
41,4,19,Partial,0.043
45,8,1,Partial,0.465
49,5,20,Partial,0.728
52,3,19,Partial,0.631
56,12,25,Partial,0.003(r)
58,5,11,Partial,0.082
59,4,30,Partial,0.973
59,10,25,Partial,0.127
60,10,13,Partial,0.372
64,8,1,Partial,0.173
67,5,31,Partial,0.093(s)
71,3,20,Partial,0.424
73,7,23,Partial,0.125
75,1,5,Partial,0.092(s)
80,3,10,Partial,0.916
81,2,27,Partial,0.317
83,12,27,Partial,0.912
86,5,31,Partial,0.515
87,10,15,Partial,0.06
88,10,3,Partial,0.186
92,1,27,Partial,0.02
92,7,23,Partial,0.239(r)
95,5,22,Partial,0.075(r)
