ID, king_code, king_year, king_month, jyear, jmonth, jday, JDat00h, moon_age
43,k001,3,7,-622,9,26,1494140.5,2
44,k001,3,8,-622,10,26,1494170.5,2
45,k001,3,9,-622,11,25,1494200.5,3
46,k001,3,10,-622,12,24,1494229.5,2
47,k001,3,11,-621,1,23,1494259.5,3
48,k001,3,12,-621,2,21,1494288.5,2
49,k001,4,1,-621,3,22,1494317.5,2
50,k001,4,2,-621,4,21,1494347.5,2
51,k001,4,3,-621,5,20,1494376.5,1
52,k001,4,4,-621,6,18,1494405.5,1
53,k001,4,5,-621,7,18,1494435.5,1
54,k001,4,6,-621,8,16,1494464.5,1
55,k001,4,7,-621,9,15,1494494.5,1
56,k001,4,8,-621,10,15,1494524.5,2
57,k001,4,9,-621,11,14,1494554.5,2
58,k001,4,10,-621,12,13,1494583.5,2
59,k001,4,11,-620,1,12,1494613.5,2
60,k001,4,12,-620,2,11,1494643.5,3
61,k001,5,1,-620,3,11,1494672.5,2
62,k001,5,2,-620,4,9,1494701.5,2
63,k001,5,3,-620,5,9,1494731.5,2
64,k001,5,4,-620,6,7,1494760.5,2
65,k001,5,5,-620,7,6,1494789.5,1
66,k001,5,6,-620,8,5,1494819.5,2
67,k001,5,6.5,-620,9,3,1494848.5,1
68,k001,5,7,-620,10,3,1494878.5,1
69,k001,5,8,-620,11,2,1494908.5,2
70,k001,5,9,-620,12,2,1494938.5,2
71,k001,5,10,-619,1,1,1494968.5,3
72,k001,5,11,-619,1,30,1494997.5,2
73,k001,5,12,-619,3,1,1495027.5,3
74,k001,6,1,-619,3,30,1495056.5,2
75,k001,6,2,-619,4,28,1495085.5,2
76,k001,6,3,-619,5,28,1495115.5,2
77,k001,6,4,-619,6,26,1495144.5,2
78,k001,6,5,-619,7,25,1495173.5,1
79,k001,6,6,-619,8,24,1495203.5,2
80,k001,6,7,-619,9,22,1495232.5,1
81,k001,6,8,-619,10,22,1495262.5,2
82,k001,6,9,-619,11,21,1495292.5,2
83,k001,6,10,-619,12,21,1495322.5,3
84,k001,6,11,-618,1,19,1495351.5,2
85,k001,6,12,-618,2,18,1495381.5,2
86,k001,7,1,-618,3,19,1495410.5,2
87,k001,7,2,-618,4,18,1495440.5,2
88,k001,7,3,-618,5,17,1495469.5,2
89,k001,7,4,-618,6,16,1495499.5,2
90,k001,7,5,-618,7,15,1495528.5,2
91,k001,7,6,-618,8,13,1495557.5,1
92,k001,7,7,-618,9,12,1495587.5,2
93,k001,7,8,-618,10,12,1495617.5,2
94,k001,7,9,-618,11,10,1495646.5,2
95,k001,7,10,-618,12,10,1495676.5,2
96,k001,7,11,-617,1,8,1495705.5,2
97,k001,7,12,-617,2,7,1495735.5,2
98,k001,7,12.5,-617,3,8,1495764.5,2
99,k001,8,1,-617,4,7,1495794.5,2
100,k001,8,2,-617,5,7,1495824.5,2
101,k001,8,3,-617,6,5,1495853.5,2
102,k001,8,4,-617,7,5,1495883.5,2
103,k001,8,5,-617,8,3,1495912.5,2
104,k001,8,6,-617,9,1,1495941.5,1
105,k001,8,6.5,-617,10,1,1495971.5,2
106,k001,8,8,-617,10,31,1496001.5,2
107,k001,8,9,-617,11,29,1496030.5,2
108,k001,8,10,-617,12,28,1496059.5,1
109,k001,8,11,-616,1,27,1496089.5,2
110,k001,8,12,-616,2,25,1496118.5,1
111,k001,9,1,-616,3,26,1496148.5,2
112,k001,9,2,-616,4,25,1496178.5,2
113,k001,9,3,-616,5,24,1496207.5,2
114,k001,9,4,-616,6,23,1496237.5,2
115,k001,9,5,-616,7,23,1496267.5,3
116,k001,9,6,-616,8,21,1496296.5,2
117,k001,9,7,-616,9,20,1496326.5,2
118,k001,9,8,-616,10,19,1496355.5,2
119,k001,9,9,-616,11,18,1496385.5,2
120,k001,9,10,-616,12,17,1496414.5,2
121,k001,9,11,-615,1,15,1496443.5,1
122,k001,9,12,-615,2,14,1496473.5,2
123,k001,10,1,-615,3,15,1496502.5,1
124,k001,10,2,-615,4,14,1496532.5,2
125,k001,10,3,-615,5,13,1496561.5,1
126,k001,10,4,-615,6,12,1496591.5,2
127,k001,10,5,-615,7,12,1496621.5,2
128,k001,10,6,-615,8,11,1496651.5,3
129,k001,10,6.5,-615,9,9,1496680.5,2
130,k001,10,7,-615,10,9,1496710.5,3
131,k001,10,8,-615,11,7,1496739.5,2
132,k001,10,9,-615,12,7,1496769.5,3
133,k001,10,10,-614,1,5,1496798.5,2
134,k001,10,11,-614,2,3,1496827.5,1
135,k001,10,12,-614,3,5,1496857.5,2
136,k001,11,1,-614,4,3,1496886.5,1
137,k001,11,2,-614,5,3,1496916.5,2
138,k001,11,3,-614,6,1,1496945.5,1
139,k001,11,4,-614,7,1,1496975.5,2
140,k001,11,5,-614,7,31,1497005.5,2
141,k001,11,6,-614,8,30,1497035.5,3
142,k001,11,7,-614,9,28,1497064.5,2
143,k001,11,8,-614,10,28,1497094.5,3
144,k001,11,9,-614,11,26,1497123.5,2
145,k001,11,10,-614,12,26,1497153.5,3
146,k001,11,11,-613,1,24,1497182.5,2
147,k001,11,12,-613,2,22,1497211.5,2
148,k001,12,1,-613,3,24,1497241.5,2
149,k001,12,2,-613,4,22,1497270.5,1
150,k001,12,3,-613,5,21,1497299.5,1
151,k001,12,4,-613,6,20,1497329.5,1
152,k001,12,5,-613,7,20,1497359.5,2
153,k001,12,6,-613,8,19,1497389.5,2
154,k001,12,7,-613,9,18,1497419.5,3
155,k001,12,8,-613,10,17,1497448.5,2
156,k001,12,9,-613,11,16,1497478.5,3
157,k001,12,10,-613,12,15,1497507.5,2
158,k001,12,11,-612,1,13,1497536.5,2
159,k001,12,12,-612,2,12,1497566.5,2
160,k001,12,12.5,-612,3,12,1497595.5,2
161,k001,13,1,-612,4,11,1497625.5,2
162,k001,13,2,-612,5,10,1497654.5,2
163,k001,13,3,-612,6,8,1497683.5,1
164,k001,13,4,-612,7,8,1497713.5,2
165,k001,13,5,-612,8,7,1497743.5,2
166,k001,13,6,-612,9,5,1497772.5,1
167,k001,13,7,-612,10,5,1497802.5,2
168,k001,13,8,-612,11,4,1497832.5,2
169,k001,13,9,-612,12,3,1497861.5,2
170,k001,13,10,-611,1,2,1497891.5,2
171,k001,13,11,-611,1,31,1497920.5,2
172,k001,13,12,-611,3,2,1497950.5,2
173,k001,14,1,-611,3,31,1497979.5,2
174,k001,14,2,-611,4,30,1498009.5,2
175,k001,14,3,-611,5,29,1498038.5,2
176,k001,14,4,-611,6,27,1498067.5,1
177,k001,14,5,-611,7,27,1498097.5,2
178,k001,14,6,-611,8,26,1498127.5,2
179,k001,14,7,-611,9,24,1498156.5,2
180,k001,14,8,-611,10,24,1498186.5,2
181,k001,14,9,-611,11,22,1498215.5,2
182,k001,14,10,-611,12,22,1498245.5,2
183,k001,14,11,-610,1,21,1498275.5,2
184,k001,14,12,-610,2,19,1498304.5,2
185,k001,15,1,-610,3,21,1498334.5,2
186,k001,15,2,-610,4,19,1498363.5,2
187,k001,15,3,-610,5,19,1498393.5,2
188,k001,15,4,-610,6,17,1498422.5,2
189,k001,15,5,-610,7,16,1498451.5,1
190,k001,15,6,-610,8,15,1498481.5,2
191,k001,15,6.5,-610,9,13,1498510.5,1
192,k001,15,7,-610,10,13,1498540.5,2
193,k001,15,8,-610,11,11,1498569.5,1
194,k001,15,9,-610,12,11,1498599.5,2
195,k001,15,10,-609,1,10,1498629.5,2
196,k001,15,11,-609,2,9,1498659.5,3
197,k001,15,12,-609,3,10,1498688.5,2
198,k001,16,1,-609,4,9,1498718.5,2
199,k001,16,2,-609,5,8,1498747.5,2
200,k001,16,3,-609,6,7,1498777.5,2
201,k001,16,4,-609,7,6,1498806.5,2
202,k001,16,5,-609,8,5,1498836.5,2
203,k001,16,6,-609,9,3,1498865.5,2
204,k001,16,7,-609,10,2,1498894.5,1
205,k001,16,8,-609,11,1,1498924.5,2
206,k001,16,9,-609,11,30,1498953.5,1
207,k001,16,10,-609,12,30,1498983.5,2
208,k001,16,11,-608,1,29,1499013.5,2
209,k001,16,12,-608,2,27,1499042.5,2
210,k001,17,1,-608,3,28,1499072.5,2
211,k001,17,2,-608,4,27,1499102.5,3
212,k001,17,3,-608,5,26,1499131.5,2
213,k001,17,4,-608,6,25,1499161.5,3
214,k001,17,5,-608,7,24,1499190.5,2
215,k001,17,6,-608,8,23,1499220.5,2
216,k001,17,7,-608,9,21,1499249.5,2
217,k001,17,8,-608,10,20,1499278.5,1
218,k001,17,9,-608,11,19,1499308.5,2
219,k001,17,10,-608,12,18,1499337.5,1
220,k001,17,11,-607,1,17,1499367.5,2
221,k001,17,12,-607,2,15,1499396.5,1
222,k001,18,1,-607,3,17,1499426.5,2
223,k001,18,2,-607,4,16,1499456.5,2
224,k001,18,3,-607,5,15,1499485.5,2
225,k001,18,4,-607,6,14,1499515.5,2
226,k001,18,5,-607,7,14,1499545.5,3
227,k001,18,6,-607,8,12,1499574.5,2
228,k001,18,7,-607,9,10,1499603.5,2
229,k001,18,8,-607,10,10,1499633.5,2
230,k001,18,9,-607,11,8,1499662.5,2
231,k001,18,10,-607,12,8,1499692.5,2
232,k001,18,11,-606,1,6,1499721.5,1
233,k001,18,12,-606,2,5,1499751.5,2
234,k001,19,1,-606,3,6,1499780.5,1
235,k001,19,2,-606,4,5,1499810.5,2
236,k001,19,3,-606,5,4,1499839.5,1
237,k001,19,4,-606,6,3,1499869.5,2
238,k001,19,5,-606,7,3,1499899.5,2
239,k001,19,6,-606,8,1,1499928.5,2
240,k001,19,6.5,-606,8,31,1499958.5,2
241,k001,19,7,-606,9,29,1499987.5,2
242,k001,19,8,-606,10,29,1500017.5,2
243,k001,19,9,-606,11,27,1500046.5,2
244,k001,19,10,-606,12,27,1500076.5,2
245,k001,19,11,-605,1,25,1500105.5,2
246,k001,19,12,-605,2,24,1500135.5,2
247,k001,20,1,-605,3,25,1500164.5,1
248,k001,20,2,-605,4,24,1500194.5,2
249,k001,20,3,-605,5,23,1500223.5,1
250,k001,20,4,-605,6,22,1500253.5,2
251,k001,20,5,-605,7,21,1500282.5,1
252,k001,20,6,-605,8,20,1500312.5,2
253,k001,20,7,-605,9,19,1500342.5,2
254,k001,20,8,-605,10,18,1500371.5,2
255,k001,20,9,-605,11,17,1500401.5,2
256,k001,20,10,-605,12,17,1500431.5,3
257,k001,20,11,-604,1,15,1500460.5,2
258,k001,20,12,-604,2,13,1500489.5,2
259,k001,20,12.5,-604,3,14,1500519.5,2
260,k001,21,1,-604,4,12,1500548.5,2
261,k001,21,2,-604,5,11,1500577.5,1
262,k001,21,3,-604,6,10,1500607.5,2
263,k001,21,4,-604,7,9,1500636.5,1
264,k001,21,5,-604,8,8,1500666.5,1
265,k001,21,6,-604,9,7,1500696.5,2
266,k001,21,7,-604,10,7,1500726.5,2
267,k001,21,8,-604,11,5,1500755.5,2
268,k001,21,9,-604,12,5,1500785.5,2
269,k001,21,10,-603,1,4,1500815.5,3
270,k001,21,11,-603,2,2,1500844.5,2
271,k001,21,12,-603,3,3,1500873.5,2
272,k002,1,1,-603,4,2,1500903.5,2
273,k002,1,2,-603,5,1,1500932.5,2
274,k002,1,3,-603,5,30,1500961.5,1
275,k002,1,4,-603,6,29,1500991.5,2
276,k002,1,5,-603,7,28,1501020.5,1
277,k002,1,6,-603,8,27,1501050.5,2
278,k002,1,7,-603,9,26,1501080.5,2
279,k002,1,8,-603,10,25,1501109.5,2
280,k002,1,9,-603,11,24,1501139.5,2
281,k002,1,10,-603,12,24,1501169.5,2
282,k002,1,11,-602,1,23,1501199.5,3
283,k002,1,12,-602,2,21,1501228.5,2
284,k002,2,1,-602,3,22,1501257.5,2
285,k002,2,2,-602,4,21,1501287.5,2
286,k002,2,3,-602,5,20,1501316.5,2
287,k002,2,4,-602,6,18,1501345.5,1
288,k002,2,5,-602,7,17,1501374.5,1
289,k002,2,6,-602,8,16,1501404.5,1
290,k002,2,6.5,-602,9,15,1501434.5,2
291,k002,2,7,-602,10,15,1501464.5,2
292,k002,2,8,-602,11,13,1501493.5,2
293,k002,2,9,-602,12,13,1501523.5,2
294,k002,2,10,-601,1,12,1501553.5,3
295,k002,2,11,-601,2,10,1501582.5,2
296,k002,2,12,-601,3,12,1501612.5,2
297,k002,3,1,-601,4,10,1501641.5,2
298,k002,3,2,-601,5,10,1501671.5,2
299,k002,3,3,-601,6,8,1501700.5,2
300,k002,3,4,-601,7,7,1501729.5,1
301,k002,3,5,-601,8,6,1501759.5,2
302,k002,3,6,-601,9,4,1501788.5,1
303,k002,3,7,-601,10,4,1501818.5,2
304,k002,3,8,-601,11,3,1501848.5,2
305,k002,3,9,-601,12,2,1501877.5,2
306,k002,3,10,-600,1,1,1501907.5,2
307,k002,3,11,-600,1,30,1501936.5,2
308,k002,3,12,-600,2,29,1501966.5,2
309,k002,4,1,-600,3,30,1501996.5,3
310,k002,4,2,-600,4,28,1502025.5,2
311,k002,4,3,-600,5,28,1502055.5,3
312,k002,4,4,-600,6,26,1502084.5,2
313,k002,4,5,-600,7,25,1502113.5,1
314,k002,4,6,-600,8,24,1502143.5,2
315,k002,4,7,-600,9,22,1502172.5,1
316,k002,4,8,-600,10,22,1502202.5,2
317,k002,4,9,-600,11,21,1502232.5,2
318,k002,4,10,-600,12,20,1502261.5,2
319,k002,4,11,-599,1,19,1502291.5,2
320,k002,4,12,-599,2,17,1502320.5,2
321,k002,5,1,-599,3,19,1502350.5,2
322,k002,5,2,-599,4,17,1502379.5,2
323,k002,5,3,-599,5,17,1502409.5,2
324,k002,5,4,-599,6,15,1502438.5,2
325,k002,5,5,-599,7,15,1502468.5,2
326,k002,5,6,-599,8,13,1502497.5,2
327,k002,5,6.5,-599,9,11,1502526.5,1
328,k002,5,7,-599,10,10,1502555.5,1
329,k002,5,8,-599,11,9,1502585.5,1
330,k002,5,9,-599,12,9,1502615.5,1
331,k002,5,10,-598,1,8,1502645.5,2
332,k002,5,11,-598,2,6,1502674.5,1
333,k002,5,12,-598,3,7,1502703.5,1
334,k002,6,1,-598,4,6,1502733.5,1
335,k002,6,2,-598,5,6,1502763.5,2
336,k002,6,3,-598,6,5,1502793.5,2
337,k002,6,4,-598,7,4,1502822.5,2
338,k002,6,5,-598,8,3,1502852.5,2
339,k002,6,6,-598,9,2,1502882.5,3
340,k002,6,7,-598,10,1,1502911.5,2
341,k002,6,8,-598,10,31,1502941.5,3
342,k002,6,9,-598,11,29,1502970.5,2
343,k002,6,10,-598,12,28,1502999.5,2
344,k002,6,11,-597,1,27,1503029.5,2
345,k002,6,12,-597,2,25,1503058.5,1
346,k002,7,1,-597,3,27,1503088.5,2
347,k002,7,2,-597,4,25,1503117.5,1
348,k002,7,3,-597,5,25,1503147.5,2
349,k002,7,4,-597,6,23,1503176.5,1
350,k002,7,5,-597,7,23,1503206.5,2
351,k002,7,6,-597,8,22,1503236.5,2
352,k002,7,6.5,-597,9,21,1503266.5,3
353,k002,7,7,-597,10,20,1503295.5,2
354,k002,7,8,-597,11,19,1503325.5,3
355,k002,7,9,-597,12,18,1503354.5,2
356,k002,7,10,-596,1,16,1503383.5,2
357,k002,7,11,-596,2,15,1503413.5,2
358,k002,7,12,-596,3,15,1503442.5,2
359,k002,8,1,-596,4,13,1503471.5,1
360,k002,8,2,-596,5,13,1503501.5,2
361,k002,8,3,-596,6,11,1503530.5,1
362,k002,8,4,-596,7,11,1503560.5,1
363,k002,8,5,-596,8,10,1503590.5,2
364,k002,8,6,-596,9,9,1503620.5,2
365,k002,8,7,-596,10,9,1503650.5,3
366,k002,8,8,-596,11,7,1503679.5,2
367,k002,8,9,-596,12,6,1503708.5,2
368,k002,8,10,-595,1,5,1503738.5,2
369,k002,8,11,-595,2,3,1503767.5,2
370,k002,8,12,-595,3,5,1503797.5,2
371,k002,9,1,-595,4,3,1503826.5,2
372,k002,9,2,-595,5,2,1503855.5,1
373,k002,9,3,-595,6,1,1503885.5,2
374,k002,9,4,-595,6,30,1503914.5,1
375,k002,9,5,-595,7,30,1503944.5,2
376,k002,9,6,-595,8,29,1503974.5,2
377,k002,9,6.5,-595,9,28,1504004.5,3
378,k002,9,7,-595,10,28,1504034.5,3
379,k002,9,8,-595,11,26,1504063.5,2
380,k002,9,9,-595,12,25,1504092.5,2
381,k002,9,10,-594,1,24,1504122.5,2
382,k002,9,11,-594,2,22,1504151.5,2
383,k002,9,12,-594,3,24,1504181.5,2
384,k002,10,1,-594,4,22,1504210.5,2
385,k002,10,2,-594,5,21,1504239.5,1
386,k002,10,3,-594,6,20,1504269.5,2
387,k002,10,4,-594,7,19,1504298.5,1
388,k002,10,5,-594,8,18,1504328.5,2
389,k002,10,6,-594,9,17,1504358.5,2
390,k002,10,7,-594,10,16,1504387.5,2
391,k002,10,8,-594,11,15,1504417.5,2
392,k002,10,9,-594,12,15,1504447.5,3
393,k002,10,10,-593,1,13,1504476.5,2
394,k002,10,11,-593,2,12,1504506.5,2
395,k002,10,12,-593,3,13,1504535.5,2
396,k002,11,1,-593,4,12,1504565.5,2
397,k002,11,2,-593,5,11,1504594.5,2
398,k002,11,3,-593,6,9,1504623.5,1
399,k002,11,4,-593,7,9,1504653.5,2
400,k002,11,5,-593,8,7,1504682.5,1
401,k002,11,6,-593,9,6,1504712.5,2
402,k002,11,7,-593,10,6,1504742.5,2
403,k002,11,8,-593,11,4,1504771.5,2
404,k002,11,9,-593,12,4,1504801.5,2
405,k002,11,10,-592,1,2,1504830.5,2
406,k002,11,11,-592,2,1,1504860.5,2
407,k002,11,12,-592,3,2,1504890.5,3
408,k002,11,12.5,-592,3,31,1504919.5,2
409,k002,12,1,-592,4,30,1504949.5,3
410,k002,12,2,-592,5,29,1504978.5,2
411,k002,12,3,-592,6,27,1505007.5,1
412,k002,12,4,-592,7,27,1505037.5,2
413,k002,12,5,-592,8,25,1505066.5,1
414,k002,12,6,-592,9,24,1505096.5,2
415,k002,12,7,-592,10,23,1505125.5,1
416,k002,12,8,-592,11,22,1505155.5,2
417,k002,12,9,-592,12,21,1505184.5,1
418,k002,12,10,-591,1,20,1505214.5,2
419,k002,12,11,-591,2,19,1505244.5,2
420,k002,12,12,-591,3,21,1505274.5,3
421,k002,13,1,-591,4,19,1505303.5,2
422,k002,13,2,-591,5,19,1505333.5,3
423,k002,13,3,-591,6,17,1505362.5,2
424,k002,13,4,-591,7,17,1505392.5,3
425,k002,13,5,-591,8,15,1505421.5,2
426,k002,13,6,-591,9,13,1505450.5,2
427,k002,13,7,-591,10,13,1505480.5,2
428,k002,13,8,-591,11,11,1505509.5,1
429,k002,13,9,-591,12,10,1505538.5,1
430,k002,13,10,-590,1,9,1505568.5,1
431,k002,13,11,-590,2,8,1505598.5,2
432,k002,13,12,-590,3,10,1505628.5,2
433,k002,14,1,-590,4,8,1505657.5,2
434,k002,14,2,-590,5,8,1505687.5,2
435,k002,14,3,-590,6,7,1505717.5,3
436,k002,14,4,-590,7,6,1505746.5,2
437,k002,14,5,-590,8,5,1505776.5,3
438,k002,14,6,-590,9,3,1505805.5,2
439,k002,14,7,-590,10,2,1505834.5,2
440,k002,14,8,-590,11,1,1505864.5,2
441,k002,14,9,-590,11,30,1505893.5,2
442,k002,14,10,-590,12,29,1505922.5,1
443,k002,14,11,-589,1,28,1505952.5,1
444,k002,14,12,-589,2,27,1505982.5,2
445,k002,14,12.5,-589,3,28,1506011.5,1
446,k002,15,1,-589,4,27,1506041.5,2
447,k002,15,2,-589,5,27,1506071.5,2
448,k002,15,3,-589,6,25,1506100.5,2
449,k002,15,4,-589,7,25,1506130.5,2
450,k002,15,5,-589,8,23,1506159.5,2
451,k002,15,6,-589,9,22,1506189.5,2
452,k002,15,7,-589,10,21,1506218.5,2
453,k002,15,8,-589,11,20,1506248.5,2
454,k002,15,9,-589,12,19,1506277.5,2
455,k002,15,10,-588,1,18,1506307.5,2
456,k002,15,11,-588,2,16,1506336.5,2
457,k002,15,12,-588,3,16,1506365.5,1
458,k002,16,1,-588,4,15,1506395.5,2
459,k002,16,2,-588,5,15,1506425.5,2
460,k002,16,3,-588,6,13,1506454.5,1
461,k002,16,4,-588,7,13,1506484.5,2
462,k002,16,5,-588,8,11,1506513.5,1
463,k002,16,6,-588,9,10,1506543.5,2
464,k002,16,7,-588,10,10,1506573.5,2
465,k002,16,8,-588,11,8,1506602.5,2
466,k002,16,9,-588,12,8,1506632.5,2
467,k002,16,10,-587,1,6,1506661.5,2
468,k002,16,11,-587,2,5,1506691.5,2
469,k002,16,12,-587,3,6,1506720.5,2
470,k002,17,1,-587,4,4,1506749.5,1
471,k002,17,2,-587,5,4,1506779.5,2
472,k002,17,3,-587,6,2,1506808.5,1
473,k002,17,4,-587,7,2,1506838.5,2
474,k002,17,5,-587,7,31,1506867.5,1
475,k002,17,6,-587,8,30,1506897.5,2
476,k002,17,7,-587,9,29,1506927.5,2
477,k002,17,8,-587,10,29,1506957.5,2
478,k002,17,9,-587,11,27,1506986.5,2
479,k002,17,10,-587,12,27,1507016.5,2
480,k002,17,11,-586,1,25,1507045.5,2
481,k002,17,12,-586,2,24,1507075.5,2
482,k002,17,12.5,-586,3,25,1507104.5,2
483,k002,18,1,-586,4,23,1507133.5,1
484,k002,18,2,-586,5,23,1507163.5,2
485,k002,18,3,-586,6,21,1507192.5,1
486,k002,18,4,-586,7,21,1507222.5,2
487,k002,18,5,-586,8,19,1507251.5,1
488,k002,18,6,-586,9,18,1507281.5,2
489,k002,18,7,-586,10,18,1507311.5,2
490,k002,18,8,-586,11,17,1507341.5,3
491,k002,18,9,-586,12,16,1507370.5,2
492,k002,18,10,-585,1,15,1507400.5,2
493,k002,18,11,-585,2,13,1507429.5,2
494,k002,18,12,-585,3,15,1507459.5,2
495,k002,19,1,-585,4,13,1507488.5,2
496,k002,19,2,-585,5,12,1507517.5,1
497,k002,19,3,-585,6,11,1507547.5,2
498,k002,19,4,-585,7,10,1507576.5,1
499,k002,19,5,-585,8,8,1507605.5,1
500,k002,19,6,-585,9,7,1507635.5,1
501,k002,19,7,-585,10,7,1507665.5,2
502,k002,19,8,-585,11,6,1507695.5,2
503,k002,19,9,-585,12,6,1507725.5,3
504,k002,19,10,-584,1,4,1507754.5,2
505,k002,19,11,-584,2,3,1507784.5,3
506,k002,19,12,-584,3,3,1507813.5,2
507,k002,20,1,-584,4,2,1507843.5,3
508,k002,20,2,-584,5,1,1507872.5,2
509,k002,20,3,-584,5,30,1507901.5,1
510,k002,20,4,-584,6,29,1507931.5,2
511,k002,20,5,-584,7,28,1507960.5,1
512,k002,20,6,-584,8,26,1507989.5,1
513,k002,20,7,-584,9,25,1508019.5,1
514,k002,20,8,-584,10,25,1508049.5,2
515,k002,20,9,-584,11,24,1508079.5,2
516,k002,20,10,-584,12,23,1508108.5,2
517,k002,20,11,-583,1,22,1508138.5,2
518,k002,20,12,-583,2,21,1508168.5,3
519,k002,21,1,-583,3,22,1508197.5,2
520,k002,21,2,-583,4,21,1508227.5,3
521,k002,21,3,-583,5,20,1508256.5,2
522,k002,21,4,-583,6,18,1508285.5,2
523,k002,21,5,-583,7,18,1508315.5,2
524,k002,21,6,-583,8,16,1508344.5,2
525,k002,21,6.5,-583,9,14,1508373.5,1
526,k002,21,7,-583,10,14,1508403.5,1
527,k002,21,8,-583,11,13,1508433.5,2
528,k002,21,9,-583,12,13,1508463.5,2
529,k002,21,10,-582,1,11,1508492.5,2
530,k002,21,11,-582,2,10,1508522.5,2
531,k002,21,12,-582,3,11,1508551.5,2
532,k002,22,1,-582,4,10,1508581.5,2
533,k002,22,2,-582,5,9,1508610.5,2
534,k002,22,3,-582,6,8,1508640.5,2
535,k002,22,4,-582,7,7,1508669.5,2
536,k002,22,5,-582,8,6,1508699.5,2
537,k002,22,6,-582,9,4,1508728.5,2
538,k002,22,7,-582,10,4,1508758.5,2
539,k002,22,8,-582,11,2,1508787.5,2
540,k002,22,9,-582,12,2,1508817.5,2
541,k002,22,10,-582,12,31,1508846.5,1
542,k002,22,11,-581,1,30,1508876.5,2
543,k002,22,12,-581,2,28,1508905.5,1
544,k002,23,1,-581,3,30,1508935.5,2
545,k002,23,2,-581,4,29,1508965.5,2
546,k002,23,3,-581,5,28,1508994.5,2
547,k002,23,4,-581,6,27,1509024.5,2
548,k002,23,5,-581,7,26,1509053.5,2
549,k002,23,6,-581,8,25,1509083.5,2
550,k002,23,7,-581,9,23,1509112.5,2
551,k002,23,8,-581,10,23,1509142.5,2
552,k002,23,9,-581,11,21,1509171.5,2
553,k002,23,10,-581,12,21,1509201.5,2
554,k002,23,11,-580,1,19,1509230.5,2
555,k002,23,12,-580,2,18,1509260.5,2
556,k002,23,12.5,-580,3,18,1509289.5,2
557,k002,24,1,-580,4,17,1509319.5,2
558,k002,24,2,-580,5,16,1509348.5,1
559,k002,24,3,-580,6,15,1509378.5,2
560,k002,24,4,-580,7,15,1509408.5,2
561,k002,24,5,-580,8,13,1509437.5,2
562,k002,24,6,-580,9,12,1509467.5,2
563,k002,24,7,-580,10,12,1509497.5,3
564,k002,24,8,-580,11,10,1509526.5,2
565,k002,24,9,-580,12,9,1509555.5,2
566,k002,24,10,-579,1,8,1509585.5,2
567,k002,24,11,-579,2,6,1509614.5,2
568,k002,24,12,-579,3,7,1509643.5,1
569,k002,25,1,-579,4,6,1509673.5,2
570,k002,25,2,-579,5,5,1509702.5,1
571,k002,25,3,-579,6,4,1509732.5,2
572,k002,25,4,-579,7,4,1509762.5,2
573,k002,25,5,-579,8,3,1509792.5,3
574,k002,25,6,-579,9,1,1509821.5,2
575,k002,25,7,-579,10,1,1509851.5,2
576,k002,25,8,-579,10,31,1509881.5,3
577,k002,25,9,-579,11,29,1509910.5,2
